Existence of commercial and service activities by type - self employment,Existence of commercial and service activities by type - public sector,Existence of commercial and service activities by type - banking institutions,Existence of commercial and service activities by type - service institutions,Existence of commercial and service activities by type - commerce,Town,refArea,Total number of commercial institutions by size - number of small institutions,Total number of commercial institutions by size - number of medium-sized institutions,Total number of commercial institutions by size - number of large-sized institutions,Total number of service institutions,Total number of non banking financial institutions,Observation URI,publisher,dataset,references
1,0,0,0,1,Aaqabet Rachaya,https://dbpedia.org/page/Beqaa_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaqabet+Rachaya,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,1,0,1,Aaqaibeh Kesrouane,http://dbpedia.org/resource/Keserwan_District,50,40,20,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaqaibeh+Kesrouane,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Aaqtanit,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaqtanit,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Aarab Ej-Jall,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aarab+Ej-Jall,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,1,0,Aarab Salim,https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aarab+Salim,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Aarab Tabbaya,http://dbpedia.org/resource/Sidon_District,2,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aarab+Tabbaya,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,1,1,Aaraiya,http://dbpedia.org/resource/Baabda_District,5,0,0,5,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaraiya,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Aaramoun Kesrouane,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaramoun+Kesrouane,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Aaramta,https://dbpedia.org/page/South_Governorate,5,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaramta,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Aaray,https://dbpedia.org/page/South_Governorate,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaray,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Aarbaniyeh,http://dbpedia.org/resource/Baabda_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aarbaniyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Aarbet Qozhaiya,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aarbet+Qozhaiya,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Aarjis,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aarjis,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,1,0,Aarqa,https://dbpedia.org/page/Akkar_Governorate,0,0,0,6,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aarqa,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Aarsal,https://dbpedia.org/page/Baalbek-Hermel_Governorate,100,0,0,0,5,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aarsal,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Aassoun,http://dbpedia.org/resource/MiniyehâDanniyeh_District,20,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aassoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Aatchaneh,http://dbpedia.org/resource/Matn_District,4,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aatchaneh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Aathrine,https://dbpedia.org/page/Mount_Lebanon_Governorate,5,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aathrine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Aaychiyeh,https://dbpedia.org/page/South_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaychiyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Aayha,https://dbpedia.org/page/Beqaa_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aayha,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Aaymar,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaymar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Aaynab,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaynab,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Aaynata Baalbek,https://dbpedia.org/page/Baalbek-Hermel_Governorate,7,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaynata+Baalbek,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Aaynata Bent Jbeil,http://dbpedia.org/resource/Bint_Jbeil_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaynata+Bent+Jbeil,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Aayoun Aakkar,https://dbpedia.org/page/Akkar_Governorate,100,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aayoun+Aakkar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,0,Aayoun El-Ghizlane,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aayoun+El-Ghizlane,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Aayoun El-Matn,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aayoun+El-Matn,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Aayroun,http://dbpedia.org/resource/Matn_District,30,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aayroun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Aayta Ech-Chaab,http://dbpedia.org/resource/Bint_Jbeil_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aayta+Ech-Chaab,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Aayta El-Foukhar,https://dbpedia.org/page/Beqaa_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aayta+El-Foukhar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Aaytanit,http://dbpedia.org/resource/Western_Beqaa_District,7,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaytanit,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Aaytat,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaytat,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Aaytit,http://dbpedia.org/resource/Tyre_District,40,1,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaytit,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Aazour,https://dbpedia.org/page/South_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aazour,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Aazqai,http://dbpedia.org/resource/MiniyehâDanniyeh_District,1,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aazqai,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Aazra ouel Aazr,http://dbpedia.org/resource/Keserwan_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aazra+ouel+Aazr,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Aazzi,https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aazzi,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Ablah,http://dbpedia.org/resource/ZahlÃ©_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ablah,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Abou Mizan,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Abou+Mizan,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,1,0,0,Abou Qamha,http://dbpedia.org/resource/Hasbaya_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Abou+Qamha,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Adma Oua Dafine,http://dbpedia.org/resource/Keserwan_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Adma+Oua+Dafine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Adonis,http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Adonis,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Afqa Jbeil,http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Afqa+Jbeil,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Ain Aakrine,https://dbpedia.org/page/North_Governorate,3,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ain+Aakrine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Aintoura El-Matn,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aintoura+El-Matn,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,1,0,1,Aintoura Kesrouane,http://dbpedia.org/resource/Keserwan_District,16,0,0,15,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aintoura+Kesrouane,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Aintourine,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aintourine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Aitaroun,http://dbpedia.org/resource/Bint_Jbeil_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aitaroun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,1,1,Alaq,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,20,0,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Alaq,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Almat,http://dbpedia.org/resource/Byblos_District,14,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Almat,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Amara,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Amara,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,1,1,1,Amioun,https://dbpedia.org/page/North_Governorate,150,4,0,0,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Amioun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Anane,https://dbpedia.org/page/South_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Anane,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Ansar,https://dbpedia.org/page/Nabatieh_Governorate,15,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ansar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Ansar Baalbeck,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ansar+Baalbeck,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,1,1,1,Antelias-Naccache,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Antelias-Naccache,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Arnoun,https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Arnoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Arsoun,http://dbpedia.org/resource/Baabda_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Arsoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Arzai,http://dbpedia.org/resource/Sidon_District,150,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Arzai,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Arzoun,http://dbpedia.org/resource/Tyre_District,30,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Arzoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Asnoun,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Asnoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Assia,http://dbpedia.org/resource/Batroun_District,2,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Assia,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,1,1,Ayto,http://dbpedia.org/resource/Zgharta_District,6,0,0,4,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ayto,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Baabda-Louaizi,http://dbpedia.org/resource/Baabda_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Baabda-Louaizi,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Baabdat,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Baabdat,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Baadarane,https://dbpedia.org/page/Mount_Lebanon_Governorate,8,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Baadarane,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,1,1,1,Baalbek,https://dbpedia.org/page/Baalbek-Hermel_Governorate,4000,0,0,20,20,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Baalbek,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Baalchmay,http://dbpedia.org/resource/Baabda_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Baalchmay,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Baaloul West Bekaa,http://dbpedia.org/resource/Western_Beqaa_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Baaloul+West+Bekaa,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Baaouerta,http://dbpedia.org/resource/Aley_District,15,15,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Baaouerta,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Baaqline,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Baaqline,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Baassir,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Baassir,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Bab Mareaa,http://dbpedia.org/resource/Western_Beqaa_District,6,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bab+Mareaa,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Babliyeh,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Babliyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Badbhoun,https://dbpedia.org/page/North_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Badbhoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Baghdadi,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Baghdadi,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Bahbouch,https://dbpedia.org/page/North_Governorate,5,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bahbouch,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,1,1,Baisour,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Baisour,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
